A,RELATION,B,WEIGHT
Pufferfish,isA,Fish,0.95
Pufferfish,isA,Animal,0.9
Flounder,isA,Fish,0.95
Flounder,isA,Animal,0.9
Marlin,isA,Fish,0.95
Marlin,isA,Animal,0.9
Stingray,isA,Fish,0.95
Stingray,isA,Animal,0.9
Guppy,isA,Fish,0.95
Guppy,isA,Animal,0.9
Komodo Dragon,isA,Reptile,0.95
Komodo Dragon,isA,Animal,0.9
Cobra,isA,Reptile,0.95
Cobra,isA,Animal,0.9
Python,isA,Reptile,0.95
Python,isA,Animal,0.9
Viper,isA,Reptile,0.95
Viper,isA,Animal,0.9
Tortoise,isA,Reptile,0.95
Tortoise,isA,Animal,0.9
Axolotl,isA,Amphibian,0.95
Axolotl,isA,Animal,0.9
Ladybug,isA,Insect,0.95
Ladybug,isA,Animal,0.9
Cricket,isA,Insect,0.95
Cricket,isA,Animal,0.9
Moth,isA,Insect,0.95
Moth,isA,Animal,0.9
Firefly,isA,Insect,0.95
Firefly,isA,Animal,0.9
Cicada,isA,Insect,0.95
Cicada,isA,Animal,0.9
Praying Mantis,isA,Insect,0.95
Praying Mantis,isA,Animal,0.9
Amphibian,isA,Animal,0.9
Annelid,isA,Animal,0.9
Arachnid,isA,Animal,0.9
Bird,isA,Animal,0.9
Cephalopod,isA,Animal,0.9
Cnidarian,isA,Animal,0.9
Crustacean,isA,Animal,0.9
Echinoderm,isA,Animal,0.9
Fish,isA,Animal,0.9
Insect,isA,Animal,0.9
Mammal,isA,Animal,0.9
Mollusk,isA,Animal,0.9
Reptile,isA,Animal,0.9
Hydrogen,isA,Nonmetal,0.95
Hydrogen,isA,Chemical Element,1.0
Hydrogen,isA,Matter,0.85
Helium,isA,Noble Gas,0.95
Helium,isA,Chemical Element,1.0
Helium,isA,Matter,0.85
Lithium,isA,Alkali Metal,0.95
Lithium,isA,Chemical Element,1.0
Lithium,isA,Matter,0.85
Beryllium,isA,Alkaline Earth Metal,0.95
Beryllium,isA,Chemical Element,1.0
Beryllium,isA,Matter,0.85
Carbon,isA,Nonmetal,0.95
Carbon,isA,Chemical Element,1.0
Carbon,isA,Matter,0.85
Nitrogen,isA,Nonmetal,0.95
Nitrogen,isA,Chemical Element,1.0
Nitrogen,isA,Matter,0.85
Oxygen,isA,Nonmetal,0.95
Oxygen,isA,Chemical Element,1.0
Oxygen,isA,Matter,0.85
Fluorine,isA,Halogen,0.95
Fluorine,isA,Chemical Element,1.0
Fluorine,isA,Matter,0.85
Neon,isA,Noble Gas,0.95
Neon,isA,Chemical Element,1.0
Neon,isA,Matter,0.85
Sodium,isA,Alkali Metal,0.95
Sodium,isA,Chemical Element,1.0
Sodium,isA,Matter,0.85
Magnesium,isA,Alkaline Earth Metal,0.95
Magnesium,isA,Chemical Element,1.0
Magnesium,isA,Matter,0.85
Aluminum,isA,Metal,0.95
Aluminum,isA,Chemical Element,1.0
Aluminum,isA,Matter,0.85
Silicon,isA,Metalloid,0.95
Silicon,isA,Chemical Element,1.0
Silicon,isA,Matter,0.85
Phosphorus,isA,Nonmetal,0.95
Phosphorus,isA,Chemical Element,1.0
Phosphorus,isA,Matter,0.85
Sulfur,isA,Nonmetal,0.95
Sulfur,isA,Chemical Element,1.0
Sulfur,isA,Matter,0.85
Chlorine,isA,Halogen,0.95
Chlorine,isA,Chemical Element,1.0
Chlorine,isA,Matter,0.85
Argon,isA,Noble Gas,0.95
Argon,isA,Chemical Element,1.0
Argon,isA,Matter,0.85
Potassium,isA,Alkali Metal,0.95
Potassium,isA,Chemical Element,1.0
Potassium,isA,Matter,0.85
Calcium,isA,Alkaline Earth Metal,0.95
Calcium,isA,Chemical Element,1.0
Calcium,isA,Matter,0.85
Iron,isA,Metal,0.95
Iron,isA,Chemical Element,1.0
Iron,isA,Matter,0.85
Copper,isA,Metal,0.95
Copper,isA,Chemical Element,1.0
Copper,isA,Matter,0.85
Zinc,isA,Metal,0.95
Zinc,isA,Chemical Element,1.0
Zinc,isA,Matter,0.85
Silver,isA,Metal,0.95
Silver,isA,Chemical Element,1.0
Silver,isA,Matter,0.85
Gold,isA,Metal,0.95
Gold,isA,Chemical Element,1.0
Gold,isA,Matter,0.85
Mercury,isA,Metal,0.95
Mercury,isA,Chemical Element,1.0
Mercury,isA,Matter,0.85
Lead,isA,Metal,0.95
Lead,isA,Chemical Element,1.0
Lead,isA,Matter,0.85
Tin,isA,Metal,0.95
Tin,isA,Chemical Element,1.0
Tin,isA,Matter,0.85
Nickel,isA,Metal,0.95
Nickel,isA,Chemical Element,1.0
Nickel,isA,Matter,0.85
Platinum,isA,Metal,0.95
Platinum,isA,Chemical Element,1.0
Platinum,isA,Matter,0.85
Titanium,isA,Metal,0.95
Titanium,isA,Chemical Element,1.0
Titanium,isA,Matter,0.85
Chromium,isA,Metal,0.95
Chromium,isA,Chemical Element,1.0
Chromium,isA,Matter,0.85
Manganese,isA,Metal,0.95
Manganese,isA,Chemical Element,1.0
Manganese,isA,Matter,0.85
Arsenic,isA,Metalloid,0.95
Arsenic,isA,Chemical Element,1.0
Arsenic,isA,Matter,0.85
Boron,isA,Metalloid,0.95
Boron,isA,Chemical Element,1.0
Boron,isA,Matter,0.85
Germanium,isA,Metalloid,0.95
Germanium,isA,Chemical Element,1.0
Germanium,isA,Matter,0.85
Bromine,isA,Halogen,0.95
Bromine,isA,Chemical Element,1.0
Bromine,isA,Matter,0.85
Iodine,isA,Halogen,0.95
Iodine,isA,Chemical Element,1.0
Iodine,isA,Matter,0.85
Krypton,isA,Noble Gas,0.95
Krypton,isA,Chemical Element,1.0
Krypton,isA,Matter,0.85
Xenon,isA,Noble Gas,0.95
Xenon,isA,Chemical Element,1.0
Xenon,isA,Matter,0.85
Radon,isA,Noble Gas,0.95
Radon,isA,Chemical Element,1.0
Radon,isA,Matter,0.85
Uranium,isA,Metal,0.95
Uranium,isA,Chemical Element,1.0
Uranium,isA,Matter,0.85
Cobalt,isA,Metal,0.95
Cobalt,isA,Chemical Element,1.0
Cobalt,isA,Matter,0.85
Tungsten,isA,Metal,0.95
Tungsten,isA,Chemical Element,1.0
Tungsten,isA,Matter,0.85
Barium,isA,Alkaline Earth Metal,0.95
Barium,isA,Chemical Element,1.0
Barium,isA,Matter,0.85
Cesium,isA,Alkali Metal,0.95
Cesium,isA,Chemical Element,1.0
Cesium,isA,Matter,0.85
Radium,isA,Alkaline Earth Metal,0.95
Radium,isA,Chemical Element,1.0
Radium,isA,Matter,0.85
Alkali Metal,isA,Chemical Element Category,0.8
Alkaline Earth Metal,isA,Chemical Element Category,0.8
Halogen,isA,Chemical Element Category,0.8
Metal,isA,Chemical Element Category,0.8
Metalloid,isA,Chemical Element Category,0.8
Noble Gas,isA,Chemical Element Category,0.8
Nonmetal,isA,Chemical Element Category,0.8
Mercury,isA,Planet,1.0
Mercury,isA,Celestial Body,0.9
Venus,isA,Planet,1.0
Venus,isA,Celestial Body,0.9
Earth,isA,Planet,1.0
Earth,isA,Celestial Body,0.9
Mars,isA,Planet,1.0
Mars,isA,Celestial Body,0.9
Jupiter,isA,Planet,1.0
Jupiter,isA,Celestial Body,0.9
Saturn,isA,Planet,1.0
Saturn,isA,Celestial Body,0.9
Uranus,isA,Planet,1.0
Uranus,isA,Celestial Body,0.9
Neptune,isA,Planet,1.0
Neptune,isA,Celestial Body,0.9
Planet,isA,Celestial Body,0.9
Pluto,isA,Dwarf Planet,0.95
Pluto,isA,Celestial Body,0.9
Ceres,isA,Dwarf Planet,0.95
Ceres,isA,Celestial Body,0.9
Eris,isA,Dwarf Planet,0.95
Eris,isA,Celestial Body,0.9
Makemake,isA,Dwarf Planet,0.95
Makemake,isA,Celestial Body,0.9
Haumea,isA,Dwarf Planet,0.95
Haumea,isA,Celestial Body,0.9
Dwarf Planet,isA,Celestial Body,0.9
Square,isA,Quadrilateral,0.95
Square,isA,Shape,0.9
Rectangle,isA,Quadrilateral,0.95
Rectangle,isA,Shape,0.9
Rhombus,isA,Quadrilateral,0.95
Rhombus,isA,Shape,0.9
Triangle,isA,Polygon,0.95
Triangle,isA,Shape,0.9
Pentagon,isA,Polygon,0.95
Pentagon,isA,Shape,0.9
Hexagon,isA,Polygon,0.95
Hexagon,isA,Shape,0.9
Circle,isA,Conic Section,0.95
Circle,isA,Shape,0.9
Cube,isA,Polyhedron,0.95
Cube,isA,Shape,0.9
Sphere,isA,3D Shape,0.95
Sphere,isA,Shape,0.9
Cylinder,isA,3D Shape,0.95
Cylinder,isA,Shape,0.9
Cone,isA,3D Shape,0.95
Cone,isA,Shape,0.9
Pyramid,isA,Polyhedron,0.95
Pyramid,isA,Shape,0.9
3D Shape,isA,Shape,0.9
Conic Section,isA,Shape,0.9
Polygon,isA,Shape,0.9
Polyhedron,isA,Shape,0.9
Quadrilateral,isA,Shape,0.9
Surgeon,isA,Doctor,0.9
Surgeon,isA,Profession,0.85
Pediatrician,isA,Doctor,0.9
Pediatrician,isA,Profession,0.85
Cardiologist,isA,Doctor,0.9
Cardiologist,isA,Profession,0.85
Violinist,isA,Musician,0.9
Violinist,isA,Profession,0.85
Pianist,isA,Musician,0.9
Pianist,isA,Profession,0.85
Guitarist,isA,Musician,0.9
Guitarist,isA,Profession,0.85
Novelist,isA,Writer,0.9
Novelist,isA,Profession,0.85
Poet,isA,Writer,0.9
Poet,isA,Profession,0.85
Journalist,isA,Writer,0.9
Journalist,isA,Profession,0.85
Sculptor,isA,Artist,0.9
Sculptor,isA,Profession,0.85
Painter,isA,Artist,0.9
Painter,isA,Profession,0.85
Plumber,isA,Tradesperson,0.9
Plumber,isA,Profession,0.85
Electrician,isA,Tradesperson,0.9
Electrician,isA,Profession,0.85
Carpenter,isA,Tradesperson,0.9
Carpenter,isA,Profession,0.85
Artist,isA,Profession,0.85
Doctor,isA,Profession,0.85
Musician,isA,Profession,0.85
Tradesperson,isA,Profession,0.85
Writer,isA,Profession,0.85
Algeria,isA,Country,1.0
Algeria,isA,Place,0.85
Angola,isA,Country,1.0
Angola,isA,Place,0.85
Benin,isA,Country,1.0
Benin,isA,Place,0.85
Botswana,isA,Country,1.0
Botswana,isA,Place,0.85
Burkina Faso,isA,Country,1.0
Burkina Faso,isA,Place,0.85
Burundi,isA,Country,1.0
Burundi,isA,Place,0.85
Cameroon,isA,Country,1.0
Cameroon,isA,Place,0.85
Chad,isA,Country,1.0
Chad,isA,Place,0.85
Egypt,isA,Country,1.0
Egypt,isA,Place,0.85
Ethiopia,isA,Country,1.0
Ethiopia,isA,Place,0.85
Gabon,isA,Country,1.0
Gabon,isA,Place,0.85
Ghana,isA,Country,1.0
Ghana,isA,Place,0.85
Kenya,isA,Country,1.0
Kenya,isA,Place,0.85
Libya,isA,Country,1.0
Libya,isA,Place,0.85
Madagascar,isA,Country,1.0
Madagascar,isA,Place,0.85
Malawi,isA,Country,1.0
Malawi,isA,Place,0.85
Mali,isA,Country,1.0
Mali,isA,Place,0.85
Mauritania,isA,Country,1.0
Mauritania,isA,Place,0.85
Morocco,isA,Country,1.0
Morocco,isA,Place,0.85
Mozambique,isA,Country,1.0
Mozambique,isA,Place,0.85
Namibia,isA,Country,1.0
Namibia,isA,Place,0.85
Niger,isA,Country,1.0
Niger,isA,Place,0.85
Nigeria,isA,Country,1.0
Nigeria,isA,Place,0.85
Rwanda,isA,Country,1.0
Rwanda,isA,Place,0.85
Senegal,isA,Country,1.0
Senegal,isA,Place,0.85
Somalia,isA,Country,1.0
Somalia,isA,Place,0.85
South Africa,isA,Country,1.0
South Africa,isA,Place,0.85
South Sudan,isA,Country,1.0
South Sudan,isA,Place,0.85
Sudan,isA,Country,1.0
Sudan,isA,Place,0.85
Tanzania,isA,Country,1.0
Tanzania,isA,Place,0.85
Togo,isA,Country,1.0
Togo,isA,Place,0.85
Tunisia,isA,Country,1.0
Tunisia,isA,Place,0.85
Uganda,isA,Country,1.0
Uganda,isA,Place,0.85
Zambia,isA,Country,1.0
Zambia,isA,Place,0.85
Zimbabwe,isA,Country,1.0
Zimbabwe,isA,Place,0.85
Afghanistan,isA,Country,1.0
Afghanistan,isA,Place,0.85
Armenia,isA,Country,1.0
Armenia,isA,Place,0.85
Azerbaijan,isA,Country,1.0
Azerbaijan,isA,Place,0.85
Bahrain,isA,Country,1.0
Bahrain,isA,Place,0.85
Bangladesh,isA,Country,1.0
Bangladesh,isA,Place,0.85
Bhutan,isA,Country,1.0
Bhutan,isA,Place,0.85
Brunei,isA,Country,1.0
Brunei,isA,Place,0.85
Cambodia,isA,Country,1.0
Cambodia,isA,Place,0.85
China,isA,Country,1.0
China,isA,Place,0.85
Cyprus,isA,Country,1.0
Cyprus,isA,Place,0.85
Georgia,isA,Country,1.0
Georgia,isA,Place,0.85
India,isA,Country,1.0
India,isA,Place,0.85
Indonesia,isA,Country,1.0
Indonesia,isA,Place,0.85
Iran,isA,Country,1.0
Iran,isA,Place,0.85
Iraq,isA,Country,1.0
Iraq,isA,Place,0.85
Israel,isA,Country,1.0
Israel,isA,Place,0.85
Japan,isA,Country,1.0
Japan,isA,Place,0.85
Jordan,isA,Country,1.0
Jordan,isA,Place,0.85
Kazakhstan,isA,Country,1.0
Kazakhstan,isA,Place,0.85
Kuwait,isA,Country,1.0
Kuwait,isA,Place,0.85
Kyrgyzstan,isA,Country,1.0
Kyrgyzstan,isA,Place,0.85
Laos,isA,Country,1.0
Laos,isA,Place,0.85
Lebanon,isA,Country,1.0
Lebanon,isA,Place,0.85
Malaysia,isA,Country,1.0
Malaysia,isA,Place,0.85
Maldives,isA,Country,1.0
Maldives,isA,Place,0.85
Mongolia,isA,Country,1.0
Mongolia,isA,Place,0.85
Myanmar,isA,Country,1.0
Myanmar,isA,Place,0.85
Nepal,isA,Country,1.0
Nepal,isA,Place,0.85
North Korea,isA,Country,1.0
North Korea,isA,Place,0.85
Oman,isA,Country,1.0
Oman,isA,Place,0.85
Pakistan,isA,Country,1.0
Pakistan,isA,Place,0.85
Philippines,isA,Country,1.0
Philippines,isA,Place,0.85
Qatar,isA,Country,1.0
Qatar,isA,Place,0.85
Saudi Arabia,isA,Country,1.0
Saudi Arabia,isA,Place,0.85
Singapore,isA,Country,1.0
Singapore,isA,Place,0.85
South Korea,isA,Country,1.0
South Korea,isA,Place,0.85
Sri Lanka,isA,Country,1.0
Sri Lanka,isA,Place,0.85
Syria,isA,Country,1.0
Syria,isA,Place,0.85
Taiwan,isA,Country,1.0
Taiwan,isA,Place,0.85
Tajikistan,isA,Country,1.0
Tajikistan,isA,Place,0.85
Thailand,isA,Country,1.0
Thailand,isA,Place,0.85
Turkey,isA,Country,1.0
Turkey,isA,Place,0.85
Turkmenistan,isA,Country,1.0
Turkmenistan,isA,Place,0.85
United Arab Emirates,isA,Country,1.0
United Arab Emirates,isA,Place,0.85
Uzbekistan,isA,Country,1.0
Uzbekistan,isA,Place,0.85
Vietnam,isA,Country,1.0
Vietnam,isA,Place,0.85
Yemen,isA,Country,1.0
Yemen,isA,Place,0.85
Albania,isA,Country,1.0
Albania,isA,Place,0.85
Austria,isA,Country,1.0
Austria,isA,Place,0.85
Belarus,isA,Country,1.0
Belarus,isA,Place,0.85
Belgium,isA,Country,1.0
Belgium,isA,Place,0.85
Bulgaria,isA,Country,1.0
Bulgaria,isA,Place,0.85
Croatia,isA,Country,1.0
Croatia,isA,Place,0.85
Czech Republic,isA,Country,1.0
Czech Republic,isA,Place,0.85
Denmark,isA,Country,1.0
Denmark,isA,Place,0.85
Estonia,isA,Country,1.0
Estonia,isA,Place,0.85
Finland,isA,Country,1.0
Finland,isA,Place,0.85
France,isA,Country,1.0
France,isA,Place,0.85
Germany,isA,Country,1.0
Germany,isA,Place,0.85
Greece,isA,Country,1.0
Greece,isA,Place,0.85
Hungary,isA,Country,1.0
Hungary,isA,Place,0.85
Iceland,isA,Country,1.0
Iceland,isA,Place,0.85
Ireland,isA,Country,1.0
Ireland,isA,Place,0.85
Italy,isA,Country,1.0
Italy,isA,Place,0.85
Latvia,isA,Country,1.0
Latvia,isA,Place,0.85
Lithuania,isA,Country,1.0
Lithuania,isA,Place,0.85
Luxembourg,isA,Country,1.0
Luxembourg,isA,Place,0.85
Malta,isA,Country,1.0
Malta,isA,Place,0.85
Moldova,isA,Country,1.0
Moldova,isA,Place,0.85
Netherlands,isA,Country,1.0
Netherlands,isA,Place,0.85
Norway,isA,Country,1.0
Norway,isA,Place,0.85
Poland,isA,Country,1.0
Poland,isA,Place,0.85
Portugal,isA,Country,1.0
Portugal,isA,Place,0.85
Romania,isA,Country,1.0
Romania,isA,Place,0.85
Russia,isA,Country,1.0
Russia,isA,Place,0.85
Serbia,isA,Country,1.0
Serbia,isA,Place,0.85
Slovakia,isA,Country,1.0
Slovakia,isA,Place,0.85
Slovenia,isA,Country,1.0
Slovenia,isA,Place,0.85
Spain,isA,Country,1.0
Spain,isA,Place,0.85
Sweden,isA,Country,1.0
Sweden,isA,Place,0.85
Switzerland,isA,Country,1.0
Switzerland,isA,Place,0.85
Ukraine,isA,Country,1.0
Ukraine,isA,Place,0.85
United Kingdom,isA,Country,1.0
United Kingdom,isA,Place,0.85
Canada,isA,Country,1.0
Canada,isA,Place,0.85
Mexico,isA,Country,1.0
Mexico,isA,Place,0.85
United States,isA,Country,1.0
United States,isA,Place,0.85
Cuba,isA,Country,1.0
Cuba,isA,Place,0.85
Jamaica,isA,Country,1.0
Jamaica,isA,Place,0.85
Panama,isA,Country,1.0
Panama,isA,Place,0.85
Costa Rica,isA,Country,1.0
Costa Rica,isA,Place,0.85
Guatemala,isA,Country,1.0
Guatemala,isA,Place,0.85
Honduras,isA,Country,1.0
Honduras,isA,Place,0.85
Nicaragua,isA,Country,1.0
Nicaragua,isA,Place,0.85
Argentina,isA,Country,1.0
Argentina,isA,Place,0.85
Bolivia,isA,Country,1.0
Bolivia,isA,Place,0.85
Brazil,isA,Country,1.0
Brazil,isA,Place,0.85
Chile,isA,Country,1.0
Chile,isA,Place,0.85
Colombia,isA,Country,1.0
Colombia,isA,Place,0.85
Ecuador,isA,Country,1.0
Ecuador,isA,Place,0.85
Guyana,isA,Country,1.0
Guyana,isA,Place,0.85
Paraguay,isA,Country,1.0
Paraguay,isA,Place,0.85
Peru,isA,Country,1.0
Peru,isA,Place,0.85
Suriname,isA,Country,1.0
Suriname,isA,Place,0.85
Uruguay,isA,Country,1.0
Uruguay,isA,Place,0.85
Venezuela,isA,Country,1.0
Venezuela,isA,Place,0.85
Australia,isA,Country,1.0
Australia,isA,Place,0.85
Fiji,isA,Country,1.0
Fiji,isA,Place,0.85
New Zealand,isA,Country,1.0
New Zealand,isA,Place,0.85
Papua New Guinea,isA,Country,1.0
Papua New Guinea,isA,Place,0.85
Samoa,isA,Country,1.0
Samoa,isA,Place,0.85
Tonga,isA,Country,1.0
Tonga,isA,Place,0.85
Vanuatu,isA,Country,1.0
Vanuatu,isA,Place,0.85
Country,isA,Place,0.85
Oak Tree,isA,Tree,0.9
Oak Tree,isA,Plant,0.9
Pine Tree,isA,Tree,0.9
Pine Tree,isA,Plant,0.9
Maple Tree,isA,Tree,0.9
Maple Tree,isA,Plant,0.9
Redwood,isA,Tree,0.9
Redwood,isA,Plant,0.9
Rose,isA,Flower,0.9
Rose,isA,Plant,0.9
Tulip,isA,Flower,0.9
Tulip,isA,Plant,0.9
Sunflower,isA,Flower,0.9
Sunflower,isA,Plant,0.9
Daisy,isA,Flower,0.9
Daisy,isA,Plant,0.9
Orchid,isA,Flower,0.9
Orchid,isA,Plant,0.9
Lily,isA,Flower,0.9
Lily,isA,Plant,0.9
Bamboo,isA,Grass,0.9
Bamboo,isA,Plant,0.9
Wheat,isA,Grass,0.9
Wheat,isA,Plant,0.9
Rice Plant,isA,Grass,0.9
Rice Plant,isA,Plant,0.9
Corn Plant,isA,Grass,0.9
Corn Plant,isA,Plant,0.9
Fern,isA,Fern,0.9
Fern,isA,Plant,0.9
Cactus,isA,Succulent,0.9
Cactus,isA,Plant,0.9
Aloe Vera,isA,Succulent,0.9
Aloe Vera,isA,Plant,0.9
Flower,isA,Plant,0.9
Grass,isA,Plant,0.9
Succulent,isA,Plant,0.9
Tree,isA,Plant,0.9
Mushroom,isA,Fungus,0.9
